1694	Q9H2S1	KCNN2_HUMAN	reviewed	Small conductance calcium-activated potassium channel protein 2 (SK2) (SKCa 2) (SKCa2) (KCa2.2)	KCNN2	Homo sapiens (Human)	579
1695	Q9UGI6	KCNN3_HUMAN	reviewed	Small conductance calcium-activated potassium channel protein 3 (SK3) (SKCa 3) (SKCa3) (KCa2.3)	KCNN3 K3	Homo sapiens (Human)	736
1696	Q70I53	HDAH_ALCSD	reviewed	Histone deacetylase-like amidohydrolase (HDAC-like amidohydrolase) (HDAH) (EC 3.5.1.-)	hdaH hdaH1	Alcaligenes sp. (strain DSM 11172) (Bordetella sp. (strain FB188))	369
1697	P21588	5NTD_RAT	reviewed	5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73)	Nt5e Nt5 Nte	Rattus norvegicus (Rat)	576
1698	P49761	CLK3_HUMAN	reviewed	Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3)	CLK3	Homo sapiens (Human)	638
1699	Q56UN5	M3K19_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 19 (EC 2.7.11.1) (Regulated in COPD, protein kinase) (SPS1/STE20-related protein kinase YSK4)	MAP3K19 RCK YSK4	Homo sapiens (Human)	1328
1700	Q9Y6M4	KC1G3_HUMAN	reviewed	Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1)	CSNK1G3	Homo sapiens (Human)	447
1701	Q9H3R0	KDM4C_HUMAN	reviewed	Lysine-specific demethylase 4C (EC 1.14.11.-) (Gene amplified in squamous cell carcinoma 1 protein) (GASC-1 protein) (JmjC domain-containing histone demethylation protein 3C) (Jumonji domain-containing protein 2C)	KDM4C GASC1 JHDM3C JMJD2C KIAA0780	Homo sapiens (Human)	1056
1702	Q9Y4C1	KDM3A_HUMAN	reviewed	Lysine-specific demethylase 3A (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 2A) (Jumonji domain-containing protein 1A)	KDM3A JHDM2A JMJD1 JMJD1A KIAA0742 TSGA	Homo sapiens (Human)	1321
1703	P50391	NPY4R_HUMAN	reviewed	Neuropeptide Y receptor type 4 (NPY4-R) (Pancreatic polypeptide receptor 1) (PP1)	NPY4R PPYR1	Homo sapiens (Human)	375
1704	P56937	DHB7_HUMAN	reviewed	3-keto-steroid reductase (EC 1.1.1.270) (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (Estradiol 17-beta-dehydrogenase 7) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 37C member 1)	HSD17B7 SDR37C1 UNQ2563/PRO6243	Homo sapiens (Human)	341
1705	O88275	PPARG_RAT	reviewed	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	Pparg Nr1c3	Rattus norvegicus (Rat)	505
1706	P10276	RARA_HUMAN	reviewed	Retinoic acid receptor alpha (RAR-alpha) (Nuclear receptor subfamily 1 group B member 1)	RARA NR1B1	Homo sapiens (Human)	462
1707	P10826	RARB_HUMAN	reviewed	Retinoic acid receptor beta (RAR-beta) (HBV-activated protein) (Nuclear receptor subfamily 1 group B member 2) (RAR-epsilon)	RARB HAP NR1B2	Homo sapiens (Human)	455
1708	P13631	RARG_HUMAN	reviewed	Retinoic acid receptor gamma (RAR-gamma) (Nuclear receptor subfamily 1 group B member 3)	RARG NR1B3	Homo sapiens (Human)	454
1709	P28702	RXRB_HUMAN	reviewed	Retinoic acid receptor RXR-beta (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta)	RXRB NR2B2	Homo sapiens (Human)	533
1710	P48443	RXRG_HUMAN	reviewed	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	RXRG NR2B3	Homo sapiens (Human)	463
1711	P49743	RXRB_RAT	reviewed	Retinoic acid receptor RXR-beta (Nuclear receptor coregulator 1) (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta) (Fragment)	Rxrb Nr2b2 Rcor-1	Rattus norvegicus (Rat)	458
1712	Q05343	RXRA_RAT	reviewed	Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha)	Rxra Nr2b1	Rattus norvegicus (Rat)	467
1713	Q5BJR8	RXRG_RAT	reviewed	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	Rxrg Nr2b3	Rattus norvegicus (Rat)	463
1714	Q9BZM2	PA2GF_HUMAN	reviewed	Group IIF secretory phospholipase A2 (GIIF sPLA2) (sPLA2-IIF) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2F)	PLA2G2F	Homo sapiens (Human)	168
1715	Q9NZK7	PA2GE_HUMAN	reviewed	Group IIE secretory phospholipase A2 (GIIE sPLA2) (sPLA2-IIE) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2E)	PLA2G2E	Homo sapiens (Human)	142
1716	Q9QUL3	PA2GE_MOUSE	reviewed	Group IIE secretory phospholipase A2 (GIIE sPLA2) (sPLA2-IIE) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2E)	Pla2g2e	Mus musculus (Mouse)	142
1717	Q9UNK4	PA2GD_HUMAN	reviewed	Group IID secretory phospholipase A2 (GIID sPLA2) (sPLA2-IID) (EC 3.1.1.4) (PLA2IID) (Phosphatidylcholine 2-acylhydrolase 2D) (Secretory-type PLA, stroma-associated homolog)	PLA2G2D SPLASH	Homo sapiens (Human)	145
1718	Q9WVF6	PA2GD_MOUSE	reviewed	Group IID secretory phospholipase A2 (GIID sPLA2) (sPLA2-IID) (EC 3.1.1.4) (PLA2IID) (Phosphatidylcholine 2-acylhydrolase 2D) (Secretory-type PLA, stroma-associated homolog)	Pla2g2d Pla2a2 Splash	Mus musculus (Mouse)	144
1719	Q9Z0Y2	PA21B_MOUSE	reviewed	Phospholipase A2 (EC 3.1.1.4) (Group IB phospholipase A2) (PLA2-Ib) (Phosphatidylcholine 2-acylhydrolase 1B)	Pla2g1b Pla2	Mus musculus (Mouse)	146
1720	Q9QZT4	PA2GF_MOUSE	reviewed	Group IIF secretory phospholipase A2 (GIIF sPLA2) (sPLA2-IIF) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2F)	Pla2g2f	Mus musculus (Mouse)	168
1721	O00142	KITM_HUMAN	reviewed	Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (Mt-TK)	TK2	Homo sapiens (Human)	265
1722	P04183	KITH_HUMAN	reviewed	Thymidine kinase, cytosolic (EC 2.7.1.21)	TK1	Homo sapiens (Human)	234
1723	Q9XZT6	DNK_DROME	reviewed	Deoxynucleoside kinase (EC 2.7.1.145) (Deoxyribonucleoside kinase) (Dm-dNK) (Multispecific deoxynucleoside kinase)	dnk CG5452	Drosophila melanogaster (Fruit fly)	250
1724	P50554	GABT_RAT	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT) [Cleaved into: 4-aminobutyrate aminotransferase, brain isoform; 4-aminobutyrate aminotransferase, liver isoform]	Abat Gabat	Rattus norvegicus (Rat)	500
1725	Q61221	HIF1A_MOUSE	reviewed	Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein)	Hif1a	Mus musculus (Mouse)	836
1726	Q8WUI4	HDAC7_HUMAN	reviewed	Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a)	HDAC7 HDAC7A	Homo sapiens (Human)	952
1727	P50129	5HT2A_PIG	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (5-HT2A) (Serotonin receptor 2A)	HTR2A	Sus scrofa (Pig)	470
1728	P16177	NK3R_RAT	reviewed	Neuromedin-K receptor (NKR) (NK-3 receptor) (NK-3R) (Neurokinin B receptor) (Tachykinin receptor 3)	Tacr3 Tac3r	Rattus norvegicus (Rat)	452
1729	P39086	GRIK1_HUMAN	reviewed	Glutamate receptor ionotropic, kainate 1 (GluK1) (Excitatory amino acid receptor 3) (EAA3) (Glutamate receptor 5) (GluR-5) (GluR5)	GRIK1 GLUR5	Homo sapiens (Human)	918
1730	P0C5S6	LUXN_VIBHA	reviewed	Autoinducer 1 sensor kinase/phosphatase LuxN (EC 2.7.13.3) (EC 3.1.3.-)	luxN	Vibrio harveyi (Beneckea harveyi)	849
1731	P00521	ABL_MLVAB	reviewed	Tyrosine-protein kinase transforming protein Abl (EC 2.7.10.2) (V-abl)	ABL	Abelson murine leukemia virus	746
1732	P49862	KLK7_HUMAN	reviewed	Kallikrein-7 (hK7) (EC 3.4.21.117) (Serine protease 6) (Stratum corneum chymotryptic enzyme) (hSCCE)	KLK7 PRSS6 SCCE	Homo sapiens (Human)	253
1733	Q9P0G3	KLK14_HUMAN	reviewed	Kallikrein-14 (hK14) (EC 3.4.21.-) (Kallikrein-like protein 6) (KLK-L6)	KLK14 KLKL6	Homo sapiens (Human)	267
1734	Q9Y337	KLK5_HUMAN	reviewed	Kallikrein-5 (EC 3.4.21.-) (Kallikrein-like protein 2) (KLK-L2) (Stratum corneum tryptic enzyme)	KLK5 SCTE UNQ570/PRO1132	Homo sapiens (Human)	293
1735	Q9Y5Y6	ST14_HUMAN	reviewed	Suppressor of tumorigenicity 14 protein (EC 3.4.21.109) (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease 14) (Serine protease TADG-15) (Tumor-associated differentially-expressed gene 15 protein)	ST14 PRSS14 SNC19 TADG15	Homo sapiens (Human)	855
1736	P08487	PLCG1_BOVIN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1	Bos taurus (Bovine)	1291
1737	Q93009	UBP7_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	USP7 HAUSP	Homo sapiens (Human)	1102
1738	O15075	DCLK1_HUMAN	reviewed	Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	DCLK1 DCAMKL1 DCDC3A KIAA0369	Homo sapiens (Human)	740
1739	O94768	ST17B_HUMAN	reviewed	Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)	STK17B DRAK2	Homo sapiens (Human)	372
1740	O94921	CDK14_HUMAN	reviewed	Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1)	CDK14 KIAA0834 PFTK1	Homo sapiens (Human)	469
1741	P11217	PYGM_HUMAN	reviewed	Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase)	PYGM	Homo sapiens (Human)	842
1742	P15206	CCNB_MARGL	reviewed	G2/mitotic-specific cyclin-B		Marthasterias glacialis (Spiny starfish)	388
1743	P49336	CDK8_HUMAN	reviewed	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35)	CDK8	Homo sapiens (Human)	464
1744	P51946	CCNH_HUMAN	reviewed	Cyclin-H (MO15-associated protein) (p34) (p37)	CCNH	Homo sapiens (Human)	323
1745	P54756	EPHA5_HUMAN	reviewed	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)	EPHA5 BSK EHK1 HEK7 TYRO4	Homo sapiens (Human)	1037
1746	Q00526	CDK3_HUMAN	reviewed	Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3)	CDK3 CDKN3	Homo sapiens (Human)	305
1747	Q00537	CDK17_HUMAN	reviewed	Cyclin-dependent kinase 17 (EC 2.7.11.22) (Cell division protein kinase 17) (PCTAIRE-motif protein kinase 2) (Serine/threonine-protein kinase PCTAIRE-2)	CDK17 PCTAIRE2 PCTK2	Homo sapiens (Human)	523
1748	Q07002	CDK18_HUMAN	reviewed	Cyclin-dependent kinase 18 (EC 2.7.11.22) (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3)	CDK18 PCTAIRE3 PCTK3	Homo sapiens (Human)	472
1749	Q13131	AAPK1_HUMAN	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1	Homo sapiens (Human)	559
1750	Q13705	AVR2B_HUMAN	reviewed	Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)	ACVR2B	Homo sapiens (Human)	512
1751	Q16816	PHKG1_HUMAN	reviewed	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (PHK-gamma-M) (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1) (EC 2.7.11.26)	PHKG1 PHKG	Homo sapiens (Human)	387
1752	Q8IVH8	M4K3_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3)	MAP4K3 RAB8IPL1	Homo sapiens (Human)	894
1753	Q8N5S9	KKCC1_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)	CAMKK1 CAMKKA	Homo sapiens (Human)	505
1754	Q8TD08	MK15_HUMAN	reviewed	Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8)	MAPK15 ERK7 ERK8	Homo sapiens (Human)	544
1755	Q92918	M4K1_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase kinase 1 (EC 2.7.11.1) (Hematopoietic progenitor kinase) (MAPK/ERK kinase kinase kinase 1) (MEK kinase kinase 1) (MEKKK 1)	MAP4K1 HPK1	Homo sapiens (Human)	833
1756	Q9BWU1	CDK19_HUMAN	reviewed	Cyclin-dependent kinase 19 (EC 2.7.11.22) (CDC2-related protein kinase 6) (Cell division cycle 2-like protein kinase 6) (Cell division protein kinase 19) (Cyclin-dependent kinase 11) (Death-preventing kinase)	CDK19 CDC2L6 CDK11 KIAA1028	Homo sapiens (Human)	502
1757	Q9C098	DCLK3_HUMAN	reviewed	Serine/threonine-protein kinase DCLK3 (EC 2.7.11.1) (Doublecortin domain-containing protein 3C) (Doublecortin-like and CAM kinase-like 3) (Doublecortin-like kinase 3)	DCLK3 DCAMKL3 DCDC3C KIAA1765	Homo sapiens (Human)	648
1758	Q9H093	NUAK2_HUMAN	reviewed	NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)	NUAK2 OMPHK2 SNARK	Homo sapiens (Human)	628
1759	Q9H3Y6	SRMS_HUMAN	reviewed	Tyrosine-protein kinase Srms (EC 2.7.10.2)	SRMS C20orf148	Homo sapiens (Human)	488
1760	Q9UK32	KS6A6_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-6 (S6K-alpha-6) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 6) (p90-RSK 6) (p90RSK6) (Ribosomal S6 kinase 4) (RSK-4) (pp90RSK4)	RPS6KA6 RSK4	Homo sapiens (Human)	745
1761	Q9Y5S2	MRCKB_HUMAN	reviewed	Serine/threonine-protein kinase MRCK beta (EC 2.7.11.1) (CDC42-binding protein kinase beta) (CDC42BP-beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta)	CDC42BPB KIAA1124	Homo sapiens (Human)	1711
1762	P54001	P4HA1_RAT	reviewed	Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)	P4ha1 P4ha	Rattus norvegicus (Rat)	534
1763	Q96KS0	EGLN2_HUMAN	reviewed	Egl nine homolog 2 (EC 1.14.11.29) (Estrogen-induced tag 6) (HPH-3) (Hypoxia-inducible factor prolyl hydroxylase 1) (HIF-PH1) (HIF-prolyl hydroxylase 1) (HPH-1) (Prolyl hydroxylase domain-containing protein 1) (PHD1)	EGLN2 EIT6	Homo sapiens (Human)	407
1764	P01103	MYB_CHICK	reviewed	Transcriptional activator Myb (Proto-oncogene c-Myb)	MYB	Gallus gallus (Chicken)	641
1765	Q02083	NAAA_HUMAN	reviewed	N-acylethanolamine-hydrolyzing acid amidase (EC 3.5.1.-) (Acid ceramidase-like protein) (N-acylsphingosine amidohydrolase-like) (ASAH-like protein) [Cleaved into: N-acylethanolamine-hydrolyzing acid amidase subunit alpha; N-acylethanolamine-hydrolyzing acid amidase subunit beta]	NAAA ASAHL PLT	Homo sapiens (Human)	359
1766	Q15109	RAGE_HUMAN	reviewed	Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products)	AGER RAGE	Homo sapiens (Human)	404
1767	P06858	LIPL_HUMAN	reviewed	Lipoprotein lipase (LPL) (EC 3.1.1.34)	LPL LIPD	Homo sapiens (Human)	475
1768	Q8BLA8	TRPA1_MOUSE	reviewed	Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1)	Trpa1 Anktm1	Mus musculus (Mouse)	1125
1769	Q7TQP3	GP119_MOUSE	reviewed	Glucose-dependent insulinotropic receptor (G-protein coupled receptor 119)	Gpr119	Mus musculus (Mouse)	335
1770	Q8TDV5	GP119_HUMAN	reviewed	Glucose-dependent insulinotropic receptor (G-protein coupled receptor 119)	GPR119	Homo sapiens (Human)	335
1771	Q920L5	ELOV6_MOUSE	reviewed	Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Fatty acyl-CoA elongase) (Long chain fatty acid elongase) (Myelin-associated SUR4 protein) (Very-long-chain 3-oxoacyl-CoA synthase 6)	Elovl6 Face Lce Masr	Mus musculus (Mouse)	267
1772	P70604	KCNN2_RAT	reviewed	Small conductance calcium-activated potassium channel protein 2 (SK2) (SKCa 2) (SKCa2) (KCa2.2)	Kcnn2	Rattus norvegicus (Rat)	580
1773	Q9JHG7	PK3CG_MOUSE	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)	Pik3cg Pi3kg1	Mus musculus (Mouse)	1102
1774	P15101	DOPO_BOVIN	reviewed	Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase]	DBH	Bos taurus (Bovine)	610
1775	P0A6D3	AROA_ECOLI	reviewed	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA b0908 JW0891	Escherichia coli (strain K12)	427
1776	Q5XXA6	ANO1_HUMAN	reviewed	Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2)	ANO1 DOG1 ORAOV2 TAOS2 TMEM16A	Homo sapiens (Human)	986
1777	P62993	GRB2_HUMAN	reviewed	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217
1778	P0CS83	CARP2_CANAX	reviewed	Candidapepsin-2 (EC 3.4.23.24) (ACP 2) (Aspartate protease 2) (Secreted aspartic protease 2)	SAP2 PRA11 PRA2	Candida albicans (Yeast)	398
1779	P28562	DUS1_HUMAN	reviewed	Dual specificity protein phosphatase 1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH1) (Mitogen-activated protein kinase phosphatase 1) (MAP kinase phosphatase 1) (MKP-1) (Protein-tyrosine phosphatase CL100)	DUSP1 CL100 MKP1 PTPN10 VH1	Homo sapiens (Human)	367
1780	P0CY54	BCHC_RHOCA	reviewed	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase (EC 1.-.-.-)	bchC	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	314
1781	Q9NTG7	SIR3_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 3.5.1.-) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)	SIRT3 SIR2L3	Homo sapiens (Human)	399
1782	P45880	VDAC2_HUMAN	reviewed	Voltage-dependent anion-selective channel protein 2 (VDAC-2) (hVDAC2) (Outer mitochondrial membrane protein porin 2)	VDAC2	Homo sapiens (Human)	294
1783	Q9Y468	LMBL1_HUMAN	reviewed	Lethal(3)malignant brain tumor-like protein 1 (H-l(3)mbt) (H-l(3)mbt protein) (L(3)mbt-like) (L(3)mbt protein homolog) (L3MBTL1)	L3MBTL1 KIAA0681 L3MBT L3MBTL	Homo sapiens (Human)	752
1784	P16499	PDE6A_HUMAN	reviewed	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha (GMP-PDE alpha) (EC 3.1.4.35) (PDE V-B1)	PDE6A PDEA	Homo sapiens (Human)	860
1785	Q06486	KC1D_RAT	reviewed	Casein kinase I isoform delta (CKI-delta) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	Csnk1d Hckid	Rattus norvegicus (Rat)	415
1786	P78417	GSTO1_HUMAN	reviewed	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)	GSTO1 GSTTLP28	Homo sapiens (Human)	241
1787	P11716	RYR1_RABIT	reviewed	Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor)	RYR1	Oryctolagus cuniculus (Rabbit)	5037
1788	O77700	ADA2B_BOVIN	reviewed	Alpha-2B adrenergic receptor (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR) (Fragment)	ADRA2B	Bos taurus (Bovine)	392
1789	P22002	CAC1C_RAT	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Rat brain class C) (RBC) (Voltage-gated calcium channel subunit alpha Cav1.2)	Cacna1c Cach2 Cacn2 Cacnl1a1 Cchl1a1	Rattus norvegicus (Rat)	2169
1790	P30545	ADA2B_MOUSE	reviewed	Alpha-2B adrenergic receptor (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR)	Adra2b	Mus musculus (Mouse)	450
1791	Q01337	ADA2C_MOUSE	reviewed	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	Adra2c	Mus musculus (Mouse)	458
1792	Q01338	ADA2A_MOUSE	reviewed	Alpha-2A adrenergic receptor (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	Adra2a	Mus musculus (Mouse)	450
1793	P18871	ADA2A_PIG	reviewed	Alpha-2A adrenergic receptor (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	ADRA2A A2AR	Sus scrofa (Pig)	450
1794	Q9NY91	SC5A4_HUMAN	reviewed	Low affinity sodium-glucose cotransporter (Sodium/glucose cotransporter 3) (Na(+)/glucose cotransporter 3) (Solute carrier family 5 member 4)	SLC5A4 SAAT1 SGLT2	Homo sapiens (Human)	659
1795	P04066	FUCO_HUMAN	reviewed	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)	FUCA1 Nbla10230	Homo sapiens (Human)	466
1796	P17164	FUCO_RAT	reviewed	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)	Fuca1 Fuca	Rattus norvegicus (Rat)	462
1797	Q2KIM0	FUCO_BOVIN	reviewed	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)	FUCA1	Bos taurus (Bovine)	468
1798	P49285	MTR1A_CHICK	reviewed	Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor) (CKA)		Gallus gallus (Chicken)	353
1799	P49288	MTR1C_CHICK	reviewed	Melatonin receptor type 1C (Mel-1C-R) (Mel1c receptor) (CKB)		Gallus gallus (Chicken)	346
1800	P51050	MTR1B_CHICK	reviewed	Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor) (Fragment)		Gallus gallus (Chicken)	289
1801	P41231	P2RY2_HUMAN	reviewed	P2Y purinoceptor 2 (P2Y2) (ATP receptor) (P2U purinoceptor 1) (P2U1) (P2U receptor 1) (Purinergic receptor)	P2RY2 P2RU1	Homo sapiens (Human)	377
1802	P53625	MA1A1_DROME	reviewed	Mannosyl-oligosaccharide alpha-1,2-mannosidase IA (EC 3.2.1.113) (Man(9)-alpha-mannosidase) (Mannosidase-1)	alpha-Man-Ia alpha-man-1 mas-1 CG32684	Drosophila melanogaster (Fruit fly)	667
1803	P10938	PNMT_BOVIN	reviewed	Phenylethanolamine N-methyltransferase (PNMTase) (EC 2.1.1.28) (Noradrenaline N-methyltransferase)	PNMT	Bos taurus (Bovine)	283
