yourlist:M2016071314483A1C7ED25EE8374758DF3FD545FD1ADE30N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P07617	P07617	MCE_VACCW	reviewed	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase (EC 2.1.1.57) (Poly(A) polymerase regulatory subunit) (Poly(A) polymerase small subunit) (PAP-S) (VP39)	PAPS VACWR095 J3R	Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR))	333
O87696	O87696	CBIF_BACME	reviewed	Cobalt-precorrin-4 C(11)-methyltransferase (EC 2.1.1.271) (Cobalt-precorrin-3 methylase)	cbiF	Bacillus megaterium	258
P9WPB5	P9WPB5	CMAS2_MYCTU	reviewed	Cyclopropane mycolic acid synthase 2 (CMAS) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase) (CFA synthase) (Cyclopropane fatty acid synthase) (Mycolic acid methyltransferase) (MA-MT) (S-adenosylmethionine-dependent methyltransferase) (AdoMet-MT) (SAM-MT)	cmaA2 cma2 CMAS-2 Rv0503c MTCY20G9.30c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	302
P14751	P14751	MTR1_RHOSH	reviewed	Modification methylase RsrI (M.RsrI) (EC 2.1.1.72) (Adenine-specific methyltransferase RsrI)	rsrIM	Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)	319
Q9WYV8	Q9WYV8	PRMC_THEMA	reviewed	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	prmC TM_0488	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	282
Q9WZX6	Q9WZX6	RSMH_THEMA	reviewed	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW TM_0872	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	299
P13956	P13956	ERM_BACIU	reviewed	rRNA adenine N-6-methyltransferase (EC 2.1.1.184) (Erythromycin resistance protein) (Macrolide-lincosamide-streptogramin B resistance protein)	ermC'	Bacillus subtilis	244
P44868	P44868	TRML_HAEIN	reviewed	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL)	trmL HI_0766	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	160
P11409	P11409	MTP2_PROHU	reviewed	Modification methylase PvuII (M.PvuII) (EC 2.1.1.113) (N-4 cytosine-specific methyltransferase PvuII)	pvuIIM	Proteus hauseri	336
P04392	P04392	DMA_BPT4	reviewed	DNA adenine methylase (EC 2.1.1.72) (DNA-(N(6)-adenine)-methyltransferase) (Deoxyadenosyl-methyltransferase) (M.EcoT4Dam)	DAM	Enterobacteria phage T4 (Bacteriophage T4)	259
P9WPB3	P9WPB3	CMAS3_MYCTU	reviewed	Cyclopropane mycolic acid synthase 3 (CMAS) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase) (CFA synthase) (Cyclopropane fatty acid synthase) (Mycolic acid methyltransferase) (MA-MT) (S-adenosylmethionine-dependent methyltransferase) (AdoMet-MT) (SAM-MT)	pcaA cma3 cmaA3 CMAS-3 Rv0470c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	287
P25924	P25924	CYSG_SALTY	reviewed	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	cysG STM3477	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	457
P05102	P05102	MTH1_HAEPH	reviewed	Modification methylase HhaI (M.HhaI) (EC 2.1.1.37) (Cytosine-specific methyltransferase HhaI)	hhaIM	Haemophilus parahaemolyticus	327
P43912	P43912	TRMD_HAEIN	reviewed	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trmD HI_0202	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	246
P0A876	P0A876	TRMD_SHIFL	reviewed	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trmD SF2667 S2844	Shigella flexneri	255
P21631	P21631	SUMT_PSEDE	reviewed	Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM)	cobA	Pseudomonas denitrificans	280
P07801	P07801	CHER_SALTY	reviewed	Chemotaxis protein methyltransferase (EC 2.1.1.80)	cheR STM1918	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	288
P14385	P14385	MTTA_THEAQ	reviewed	Modification methylase TaqI (M.TaqI) (EC 2.1.1.72) (Adenine-specific methyltransferase TaqI)	taqIM	Thermus aquaticus	421
Q56308	Q56308	PIMT_THEMA	reviewed	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	pcm TM_0704	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	317
P9WIQ3	P9WIQ3	FPRA_MYCTU	reviewed	NADPH-ferredoxin reductase FprA (NFR) (EC 1.18.1.2)	fprA Rv3106 MTCY164.16	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	456
P56690	P56690	SYI_THET8	reviewed	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS TTHA1067	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	1043
P0AGJ9	P0AGJ9	SYY_ECOLI	reviewed	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS b1637 JW1629	Escherichia coli (strain K12)	424
P52699	P52699	BLAB_SERMA	reviewed	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (BLA-IMP) (IMP-1) (Beta-lactamase type II) (Metallo-beta-lactamase type II)		Serratia marcescens	246
P68826	P68826	DEF_STAAU	reviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def def1 pdf1	Staphylococcus aureus	183
Q8DP79	Q8DP79	DEF_STRR6	reviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def spr1310	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	203
O33830	O33830	AGLA_THEMA	reviewed	Alpha-glucosidase (EC 3.2.1.20) (Maltase)	aglA TM_1834	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	480
P39593	P39593	THIM_BACSU	reviewed	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)	thiM thiK ywbJ BSU38300 ipa-25d	Bacillus subtilis (strain 168)	272
P63185	P63185	SRC_RSVSE	reviewed	Tyrosine-protein kinase transforming protein Src (EC 2.7.10.2) (pp60v-src) (p60-Src) (v-Src)	V-SRC	Rous sarcoma virus (strain Schmidt-Ruppin E) (RSV-SR-E)	526
P67910	P67910	HLDD_ECOLI	reviewed	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD htrM rfaD waaD b3619 JW3594	Escherichia coli (strain K12)	310
P45510	P45510	DHAK_CITFR	reviewed	Dihydroxyacetone kinase (DHA kinase) (EC 2.7.1.29) (Glycerone kinase)	dhaK	Citrobacter freundii	552
Q07412	Q07412	TPIS_PLAFA	reviewed	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	TPI	Plasmodium falciparum	248
P0A6I3	P0A6I3	COAA_ECOLI	reviewed	Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase) (Rts protein)	coaA panK rts b3974 JW3942	Escherichia coli (strain K12)	316
P62623	P62623	ISPH_ECOLI	reviewed	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)	ispH lytB yaaE b0029 JW0027	Escherichia coli (strain K12)	316
P43133	P43133	THER_GEOSE	reviewed	Thermolysin (EC 3.4.24.27) (Neutral protease)	nprS nprM	Geobacillus stearothermophilus (Bacillus stearothermophilus)	551
P39594	P39594	THIE_BACSU	reviewed	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE thiC ywbK BSU38290 ipa-26d	Bacillus subtilis (strain 168)	222
P00587	P00587	DTX_COROM	reviewed	Diphtheria toxin (DT) (NAD(+)--diphthamide ADP-ribosyltransferase) (EC 2.4.2.36) [Cleaved into: Diphtheria toxin fragment A; Diphtheria toxin fragment B]		Corynephage omega	560
Q9L9D7	Q9L9D7	COCE_RHOSM	reviewed	Cocaine esterase (EC 3.1.1.84)	cocE	Rhodococcus sp. (strain MB1 Bresler)	574
P30012	P30012	NADC_SALTY	reviewed	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	nadC STM0145	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	297
P9WJJ7	P9WJJ7	NADC_MYCTU	reviewed	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	nadC Rv1596 MTCY336.08c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	285
Q46822	Q46822	IDI_ECOLI	reviewed	Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase)	idi ygfV b2889 JW2857	Escherichia coli (strain K12)	182
P15273	P15273	YOPH_YEREN	reviewed	Tyrosine-protein phosphatase YopH (EC 3.1.3.48) (Virulence protein)	yopH yop51	Yersinia enterocolitica	468
P00782	P00782	SUBT_BACAM	reviewed	Subtilisin BPN' (EC 3.4.21.62) (Alkaline protease) (Subtilisin DFE) (Subtilisin Novo)	apr	Bacillus amyloliquefaciens (Bacillus velezensis)	382
P08692	P08692	ARSC1_ECOLX	reviewed	Arsenate reductase (EC 1.20.4.1) (Arsenical pump modifier)	arsC	Escherichia coli	141
P0A2W7	P0A2W7	ACPS_STRR6	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS spr1541	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	120
P0AB80	P0AB80	ILVE_ECOLI	reviewed	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B)	ilvE b3770 JW5606	Escherichia coli (strain K12)	309
P06986	P06986	HIS8_ECOLI	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase) (HPAT) (HspAT)	hisC b2021 JW2003	Escherichia coli (strain K12)	356
P06971	P06971	FHUA_ECOLI	reviewed	Ferrichrome-iron receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake)	fhuA tonA b0150 JW0146	Escherichia coli (strain K12)	747
P0A872	P0A872	TALB_SHIFL	reviewed	Transaldolase B (EC 2.2.1.2)	talB SF0009 S0008	Shigella flexneri	317
P00805	P00805	ASPG2_ECOLI	reviewed	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	ansB b2957 JW2924	Escherichia coli (strain K12)	348
P00147	P00147	CYCP_RHOCA	reviewed	Cytochrome c'		Rhodobacter capsulatus (Rhodopseudomonas capsulata)	129
P9WN25	P9WN25	TRHBN_MYCTU	reviewed	Group 1 truncated hemoglobin GlbN (Truncated hemoglobin) (trHbN) (Hemoglobin-like protein HbN)	glbN Rv1542c MTCY48.23	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	136
P69681	P69681	AMTB_ECOLI	reviewed	Ammonia channel (Ammonia transporter)	amtB ybaG b0451 JW0441	Escherichia coli (strain K12)	428
P26841	P26841	CAT4_PSEAE	reviewed	Chloramphenicol acetyltransferase (EC 2.3.1.28) (Xenobiotic acetyltransferase) (XAT)	cat catB7 PA0706	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	212
P00953	P00953	SYW_GEOSE	reviewed	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS	Geobacillus stearothermophilus (Bacillus stearothermophilus)	328
Q60053	Q60053	NEPU1_THEVU	reviewed	Neopullulanase 1 (EC 3.2.1.135) (Alpha-amylase I) (TVA I)	tvaI	Thermoactinomyces vulgaris	666
P05618	P05618	CDGT_BACS0	reviewed	Cyclomaltodextrin glucanotransferase (EC 2.4.1.19) (Cyclodextrin-glycosyltransferase) (CGTase)	cgt	Bacillus sp. (strain 1011)	713
P19571	P19571	AMT6_BACS7	reviewed	Glucan 1,4-alpha-maltohexaosidase (EC 3.2.1.98) (Exo-maltohexaohydrolase) (G6-amylase) (Maltohexaose-producing amylase)		Bacillus sp. (strain 707)	518
P00691	P00691	AMY_BACSU	reviewed	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	amyE amyA BSU03040	Bacillus subtilis (strain 168)	659
P9WQG9	P9WQG9	AAC2_MYCTU	reviewed	Aminoglycoside 2'-N-acetyltransferase (EC 2.3.1.-) (AAC(2')-Ic)	aac Rv0262c MTCY06A4.06c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	181
O06644	O06644	FCTA_OXAFO	reviewed	Formyl-CoA:oxalate CoA-transferase (FCOCT) (EC 2.8.3.16) (Formyl-coenzyme A transferase)	frc	Oxalobacter formigenes	428
P10802	P10802	ODP2_AZOVI	reviewed	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)		Azotobacter vinelandii	638
P60327	P60327	DCAS_AGRSK	reviewed	N-carbamoyl-D-amino acid hydrolase (EC 3.5.1.77) (D-N-alpha-carbamilase)		Agrobacterium sp. (strain KNK712)	304
P0A334	P0A334	KCSA_STRLI	reviewed	pH-gated potassium channel KcsA (Streptomyces lividans K+ channel) (SKC1)	kcsA skc1	Streptomyces lividans	160
P01834	P01834	IGKC_HUMAN	reviewed	Ig kappa chain C region	IGKC	Homo sapiens (Human)	106
P11741	P11741	BCPA_PROAE	reviewed	Bacteriochlorophyll a protein (BCP) (BChl a protein)		Prosthecochloris aestuarii	366
Q46393	Q46393	BCPA_CHLTE	reviewed	Bacteriochlorophyll a protein (BCP) (BChl a protein) (Fenna-Matthews-Olson protein) (FMO protein)	fmoA CT1499	Chlorobium tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS)	366
P56220	P56220	DAPD_UNKP	reviewed	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD	Unknown prokaryotic organism	274
P71447	P71447	PGMB_LACLA	reviewed	Beta-phosphoglucomutase (Beta-PGM) (EC 5.4.2.6)	pgmB LL0429 L0001	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	221
P41789	P41789	NTRC_SALTY	reviewed	Nitrogen regulation protein NR(I)	glnG ntrC STM4005	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	469
P62619	P62619	ISPF_SHIFL	reviewed	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF SF2769 S2962	Shigella flexneri	159
P00722	P00722	BGAL_ECOLI	reviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335	Escherichia coli (strain K12)	1024
P07464	P07464	THGA_ECOLI	reviewed	Galactoside O-acetyltransferase (GAT) (EC 2.3.1.18) (Thiogalactoside acetyltransferase)	lacA b0342 JW0333	Escherichia coli (strain K12)	203
P03023	P03023	LACI_ECOLI	reviewed	Lactose operon repressor	lacI b0345 JW0336	Escherichia coli (strain K12)	360
P9WN95	P9WN95	FTSZ_MYCTU	reviewed	Cell division protein FtsZ	ftsZ Rv2150c MTCY270.18	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	379
Q46079	Q46079	CSLB_PEDHD	reviewed	Chondroitinase-B (EC 4.2.2.19) (Chondroitin sulfate B lyase) (Chondroitin-B eliminase) (Chondroitin-B lyase)	cslB Phep_0789	Pedobacter heparinus (strain ATCC 13125 / DSM 2366 / NCIB 9290)	506
Q54873	Q54873	HYSA_STRPN	reviewed	Hyaluronate lyase (EC 4.2.2.1) (Hyaluronidase) (HYase)	SP_0314	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	1066
Q59288	Q59288	CSLA_PEDHD	reviewed	Chondroitinase-AC (EC 4.2.2.5) (Chondroitin sulfate AC lyase) (Chondroitin-AC eliminase) (Chondroitin-AC lyase)	cslA chnAC Phep_0786	Pedobacter heparinus (strain ATCC 13125 / DSM 2366 / NCIB 9290)	700
P33038	P33038	MURA_ENTCC	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ ECL_04571	Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCDC 279-56)	419
P16113	P16113	PYP_HALHA	reviewed	Photoactive yellow protein (PYP)	pyp	Halorhodospira halophila (Ectothiorhodospira halophila)	125
P0A079	P0A079	MAP1_STAAW	reviewed	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map MW1828	Staphylococcus aureus (strain MW2)	252
P0A078	P0A078	MAP1_STAAM	reviewed	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map SAV1888	Staphylococcus aureus (strain Mu50 / ATCC 700699)	252
P12499	P12499	POL_HV1Z2	reviewed	Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	gag-pol	Human immunodeficiency virus type 1 group M subtype D (isolate Z2/CDC-Z34) (HIV-1)	1436
P16088	P16088	POL_FIVPE	reviewed	Pol polyprotein [Cleaved into: Protease (Retropepsin) (EC 3.4.23.-); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2); Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	pol	Feline immunodeficiency virus (isolate Petaluma) (FIV)	1124
P04958	P04958	TETX_CLOTE	reviewed	Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)]	tetX CTC_p60	Clostridium tetani (strain Massachusetts / E88)	1315
P36419	P36419	SYD_THETH	reviewed	Aspartate--tRNA(Asp) ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Discriminating aspartyl-tRNA synthetase) (D-AspRS)	aspS	Thermus thermophilus	580
P08877	P08877	PTHP_BACSU	reviewed	Phosphocarrier protein HPr (EC 2.7.11.-) (Histidine-containing protein)	ptsH BSU13900	Bacillus subtilis (strain 168)	88
Q9WYT0	Q9WYT0	THYX_THEMA	reviewed	Thymidylate synthase ThyX (TS) (TSase) (EC 2.1.1.148)	thyX thy1 TM_0449	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	220
P15587	P15587	XYLA_STROL	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA	Streptomyces olivochromogenes	387
P56740	P56740	FOLB_STAAU	reviewed	Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin 2'-epimerase) (7,8-dihydroneopterin aldolase) (7,8-dihydroneopterin epimerase) (EC 5.1.99.8) (Dihydroneopterin epimerase)	folB	Staphylococcus aureus	121
P32396	P32396	HEMH_BACSU	reviewed	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	hemH hemF BSU10130	Bacillus subtilis (strain 168)	310
P06653	P06653	ALYS_STRPN	reviewed	Autolysin (EC 3.5.1.28) (Cell wall hydrolase) (Mucopeptide aminohydrolase) (Murein hydrolase) (N-acetylmuramoyl-L-alanine amidase)	lytA SP_1937	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	318
P0A1X3	P0A1X3	MXIM_SHISO	reviewed	Lipoprotein MxiM	mxiM	Shigella sonnei	142
P0AEX9	P0AEX9	MALE_ECOLI	reviewed	Maltose-binding periplasmic protein (MBP) (MMBP) (Maltodextrin-binding protein)	malE b4034 JW3994	Escherichia coli (strain K12)	396
P00282	P00282	AZUR_PSEAE	reviewed	Azurin	azu PA4922	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	148
P07097	P07097	THIL_ZOORA	reviewed	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	phbA	Zoogloea ramigera	392
P40859	P40859	MSOX_BACB0	reviewed	Monomeric sarcosine oxidase (MSOX) (EC 1.5.3.1)	soxA sox	Bacillus sp. (strain B-0618)	390
P07986	P07986	GUX_CELFI	reviewed	Exoglucanase/xylanase [Includes: Exoglucanase (EC 3.2.1.91) (1,4-beta-cellobiohydrolase) (Beta-1,4-glycanase CEX) (Exocellobiohydrolase); Endo-1,4-beta-xylanase B (Xylanase B) (EC 3.2.1.8)]	cex xynB	Cellulomonas fimi	484
P47228	P47228	BPHC_BURXL	reviewed	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39) (2,3-dihydroxybiphenyl dioxygenase) (DHBD) (23OHBP oxygenase)	bphC Bxeno_C1125 Bxe_C1191	Burkholderia xenovorans (strain LB400)	298
P00803	P00803	LEP_ECOLI	reviewed	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	lepB b2568 JW2552	Escherichia coli (strain K12)	324
P0A9J6	P0A9J6	RBSK_ECOLI	reviewed	Ribokinase (RK) (EC 2.7.1.15)	rbsK b3752 JW3731	Escherichia coli (strain K12)	309
P05798	P05798	RNSA_STRAU	reviewed	Guanyl-specific ribonuclease Sa (RNase Sa) (EC 3.1.27.3)	rnaSA	Streptomyces aureofaciens	96
P10943	P10943	HUTP_BACSU	reviewed	Hut operon positive regulatory protein	hutP BSU39340	Bacillus subtilis (strain 168)	148
P0A7E1	P0A7E1	PYRD_ECOLI	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD b0945 JW0928	Escherichia coli (strain K12)	336
Q60099	Q60099	HAD_XANAU	reviewed	(S)-2-haloacid dehalogenase (EC 3.8.1.2) (2-haloalkanoic acid dehalogenase) (Halocarboxylic acid halidohydrolase) (L-2-haloacid dehalogenase)	dhlB	Xanthobacter autotrophicus	253
P0A1V8	P0A1V8	BLO2_SALTM	reviewed	Beta-lactamase OXA-2 (EC 3.5.2.6) (Penicillinase)	bla oxa2	Salmonella typhimurium	275
P42321	P42321	CATA_PROMI	reviewed	Catalase (EC 1.11.1.6)	katA	Proteus mirabilis	484
O07347	O07347	SRP54_THEAQ	reviewed	Signal recognition particle protein (Fifty-four homolog)	ffh	Thermus aquaticus	430
P22629	P22629	SAV_STRAV	reviewed	Streptavidin		Streptomyces avidinii	183
P0A733	P0A733	MGSA_SHIFL	reviewed	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA SF0965 S1031	Shigella flexneri	152
Q9X0N8	Q9X0N8	6PGL_THEMA	reviewed	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	pgl devB TM_1154	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	220
P9WPE1	P9WPE1	CITEL_MYCTU	reviewed	Citrate lyase subunit beta-like protein (EC 4.1.-.-)	citE Rv2498c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	273
P9WKE9	P9WKE9	KGUA_MYCTU	reviewed	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk Rv1389 MTCY21B4.06	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	208
Q9X278	Q9X278	BUK2_THEMA	reviewed	Probable butyrate kinase 2 (BK 2) (EC 2.7.2.7) (Branched-chain carboxylic acid kinase 2)	buk2 TM_1756	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	375
P80357	P80357	ASTA_PSEAE	reviewed	Arginine N-succinyltransferase subunit alpha (ARUAI) (EC 2.3.1.109) (AOST) (AST)	astA aruF PA0896	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	338
P39841	P39841	MANA3_BACSU	reviewed	Putative mannose-6-phosphate isomerase YvyI (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	yvyI pmi BSU35790	Bacillus subtilis (strain 168)	316
P75914	P75914	YCDX_ECOLI	reviewed	Probable phosphatase YcdX (EC 3.1.3.-)	ycdX b1034 JW1017	Escherichia coli (strain K12)	245
O34714	O34714	OXDC_BACSU	reviewed	Oxalate decarboxylase OxdC (EC 4.1.1.2)	oxdC yvrK BSU33240	Bacillus subtilis (strain 168)	385
P16544	P16544	ACT3_STRCO	reviewed	Putative ketoacyl reductase (EC 1.3.1.-)	actIII SCO5086 SCBAC28G1.12c	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	261
Q06700	Q06700	GCDA_ACIFV	reviewed	Glutaconyl-CoA decarboxylase subunit alpha (EC 4.1.1.70) (Carboxyltransferase)	gcdA Acfer_1817	Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / VR4)	587
P77872	P77872	CATA_HELPY	reviewed	Catalase (EC 1.11.1.6)	katA HP_0875	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	505
O31465	O31465	GLSA1_BACSU	reviewed	Glutaminase 1 (EC 3.5.1.2)	glsA1 glsA ybgJ BSU02430	Bacillus subtilis (strain 168)	327
